title,company,location,how_old,link_job
Desenvolvedor Backend Ruby,Grafeno,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=3a759febc4e84de3&fccid=b2df90628328d927&vjs=3
Pessoa Desenvolvedora Full-Stack Estágio - Remoto,V360,Remoto,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=54171e835875e654&fccid=415aeffc7267b54f&vjs=3
Ruby Senior Software Engineer,Daki Brasil,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=ad057343ad63889b&fccid=8a65fa7565b26785&vjs=3
Developer Support Engineer II,DocuSign,Estado de São Paulo,Recém publicada,https://br.indeed.com/rc/clk?jk=b3db2efe0aa8a89f&fccid=9dd30dd046d9ac7a&vjs=3
Back end Developer,Pontomais,"Curitiba, PR",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=d85043576c9c81e0&fccid=6ddd3a53821a1c4b&vjs=3
"QA (Quality Assurance) Automation Engineer - Remote, Full Time LATAM",FullStack Labs,"Rio de Janeiro, RJ",há 7 dias,https://br.indeed.com/rc/clk?jk=e18fd158bdc1e39b&fccid=9c6c0fa81112149a&vjs=3
Back-End Ruby (Pleno/Sênior),Petlove,"São Paulo, SP",há 17 dias,https://br.indeed.com/rc/clk?jk=5ee0b769a0427f54&fccid=44dbd76bfe3fe244&vjs=3
Desenvolvedor Ruby on Rails [Remoto],Ignição Digital,"Brasília, DF",há 12 dias,https://br.indeed.com/rc/clk?jk=23bd9bda8e4f71c2&fccid=332945364e68149c&vjs=3
Pessoa Engenheira de Software - Backend (Ruby ou Go/Golang),RD Station,"Florianópolis, SC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=9acf4d88febb8ad7&fccid=943c4ec34e54e91b&vjs=3
"Full-Stack Developer, Vue.js, Ruby on Rails",sig9.dev,Remoto,há 7 dias,https://br.indeed.com/rc/clk?jk=b00f9c546acb824c&fccid=108c33e61eeb95c1&vjs=3
Programador Full Stack,MOV,"Itajaí, SC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=61b14d13fbc527ec&fccid=4e9af8af7a1db50d&vjs=3
